id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1146108777252438017,Tue Jul 02 17:30:00 +0000 2019,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",🧬Genomic sequencing shows that misuse of antibiotics 💊 may dictate the geographic distribution of drug-resistant… https://t.co/IYpXR1RkBr,🧬Genomic sequencing shows misuse antibiotics may dictate geographic distribution drug-resistant…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,1,1,PreventTyphoid,False,,,"Washington, DC",
1146108013880602624,Tue Jul 02 17:26:58 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",The Johns Hopkins Malaria Research Institute will host its 5th Future of Malaria Research Symposium. The meeting wi… https://t.co/TANovLR8mC,The Johns Hopkins Malaria Research Institute host 5th Future Malaria Research Symposium The meeting wi…,"Sentiment(polarity=0.0, subjectivity=0.125)",0.0,0.125,en,2,0,Chinmay_Tikhe,False,,,Baltimore,
1146101688488603648,Tue Jul 02 17:01:50 +0000 2019,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",RT @NASARain: Did you know #NASA satellites are used to fight mosquito-borne diseases like #Zika &amp; #Malaria? Learn about five different @NA…,Did know satellites used fight mosquito-borne diseases like amp Learn five different …,"Sentiment(polarity=0.0, subjectivity=0.6)",0.0,0.6,en,0,6,USGS_EROS,,"NASA, Zika, Malaria",NASARain,"Sioux Falls, SD",
1146096606539857920,Tue Jul 02 16:41:39 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Ex-Soldier Who Killed 16 Seeks New Trial in Civilian Court, Blames #Malaria Drug. #Mefloquine #Liriam https://t.co/DJVCRHUHU6",Ex-Soldier Who Killed 16 Seeks New Trial Civilian Court Blames Drug,"Sentiment(polarity=-0.03181818181818183, subjectivity=0.22727272727272727)",-0.03181818181818183,0.22727272727272727,en,1,2,CCK_Law,False,"Malaria, Mefloquine, Liriam",,"Providence, Rhode Island",
1146096303048462336,Tue Jul 02 16:40:26 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @NASARain: Did you know #NASA satellites are used to fight mosquito-borne diseases like #Zika &amp; #Malaria? Learn about five different @NA…,Did know satellites used fight mosquito-borne diseases like amp Learn five different …,"Sentiment(polarity=0.0, subjectivity=0.6)",0.0,0.6,en,0,6,ORNLDAAC,,"NASA, Zika, Malaria",NASARain,"Oak Ridge National Laboratory, TN",
1146094190327189504,Tue Jul 02 16:32:03 +0000 2019,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","Hey wait! 👋 🛑

Before you head out on summer vacation, make sure you're staying protected from #malaria. Although m… https://t.co/6kcJVVvMQo",Hey wait Before head summer vacation make sure 're staying protected Although m…,"Sentiment(polarity=0.5, subjectivity=0.8888888888888888)",0.5,0.8888888888888888,en,7,2,nothingbutnets,False,malaria,,"Washington, DC",
1146093775409864704,Tue Jul 02 16:30:24 +0000 2019,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",Combatting mosquitoes with an engineered fungus: https://t.co/acu5yfZKob  #FundNIH #malaria #westnile,Combatting mosquitoes engineered fungus,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,ACTforNIH,False,"FundNIH, malaria, westnile",,"Washington, DC",
1146087480057303043,Tue Jul 02 16:05:23 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Did you know #NASA satellites are used to fight mosquito-borne diseases like #Zika &amp; #Malaria? Learn about five dif… https://t.co/ZfMqks87Og,Did know satellites used fight mosquito-borne diseases like amp Learn five dif…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,7,6,NASARain,False,"NASA, Zika, Malaria",,Goddard Space Flight Center,
1146081870611976195,Tue Jul 02 15:43:05 +0000 2019,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","Scientists may have discovered #malaria's ""Achilles heel"" https://t.co/Oc29T68HBC via @PMP_magazine #mosquitoes",Scientists may discovered 's `` Achilles heel '' via,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,1,0,PCOpro,False,"malaria, mosquitoes",PMP_magazine,"Bay Shore, NY",
1146068128037834752,Tue Jul 02 14:48:29 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @TrendsParasitol: New Review on #mosquito vectors in #Thailand and the Greater Mekong Subregion - biodiversity, behavioral traits, vecto…",New Review vectors Greater Mekong Subregion biodiversity behavioral traits vecto…,"Sentiment(polarity=0.3181818181818182, subjectivity=0.4772727272727273)",0.3181818181818182,0.4772727272727273,en,0,4,atonkal,,"mosquito, Thailand",TrendsParasitol,"Jeddah, Saudi Arabia",
1146068106135007233,Tue Jul 02 14:48:24 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @TrendsParasitol: Challenges and opportunities of introducing transmission-blocking vaccines for #malaria control @camilahcoelho @NIAIDN…,Challenges opportunities introducing transmission-blocking vaccines control …,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,4,atonkal,,malaria,"TrendsParasitol, camilahcoelho","Jeddah, Saudi Arabia",
1146065571668090882,Tue Jul 02 14:38:19 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @TrendsParasitol: New Review on #mosquito vectors in #Thailand and the Greater Mekong Subregion - biodiversity, behavioral traits, vecto…",New Review vectors Greater Mekong Subregion biodiversity behavioral traits vecto…,"Sentiment(polarity=0.3181818181818182, subjectivity=0.4772727272727273)",0.3181818181818182,0.4772727272727273,en,0,4,TrendsParasitol,,"mosquito, Thailand",TrendsParasitol,"Cambridge, MA",
1146065504471142401,Tue Jul 02 14:38:03 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @TrendsParasitol: Challenges and opportunities of introducing transmission-blocking vaccines for #malaria control @camilahcoelho @NIAIDN…,Challenges opportunities introducing transmission-blocking vaccines control …,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,4,TrendsParasitol,,malaria,"TrendsParasitol, camilahcoelho","Cambridge, MA",
1146063044989992960,Tue Jul 02 14:28:17 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @PreventTyphoid: Speaking of #Malawi 🇲🇼, check out the latest research on risk factors associated with #typhoid fever from our friends a…",Speaking 🇲🇼 check latest research risk factors associated fever friends a…,"Sentiment(polarity=0.5, subjectivity=0.9)",0.5,0.9,en,0,2,MelitaGordon5,,"Malawi, typhoid",PreventTyphoid,Malawi,
1146059983718686720,Tue Jul 02 14:16:07 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Eradicating #Malaria 'Still Many Years Away' https://t.co/hhGPEyppEd @TheLancetInfDis @IDSAInfo,Eradicating 'Still Many Years Away,"Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5,en,0,0,KwanKew,False,Malaria,"TheLancetInfDis, IDSAInfo","Massachusetts, USA",
1146058555641888768,Tue Jul 02 14:10:27 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","""Viral #hepatitis mortality is becoming a bigger global threat than death from #HIV/#AIDS, #malaria and… https://t.co/QqDF47Ktth",`` Viral mortality becoming bigger global threat death and…,"Sentiment(polarity=0.15, subjectivity=0.45)",0.15,0.45,en,4,2,AmeshAA,False,"hepatitis, HIV, AIDS, malaria",,"Pittsburgh, Baltimore, NYC","[[-80.519851, 39.719801], [-74.689517, 39.719801], [-74.689517, 42.516072], [-80.519851, 42.516072]]"
1146056050090528770,Tue Jul 02 14:00:29 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @PreventTyphoid: Speaking of #Malawi 🇲🇼, check out the latest research on risk factors associated with #typhoid fever from our friends a…",Speaking 🇲🇼 check latest research risk factors associated fever friends a…,"Sentiment(polarity=0.5, subjectivity=0.9)",0.5,0.9,en,0,2,MlwTrust,,"Malawi, typhoid",PreventTyphoid,Malawi,
1146055926878810112,Tue Jul 02 14:00:00 +0000 2019,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Speaking of #Malawi 🇲🇼, check out the latest research on risk factors associated with #typhoid fever from our frien… https://t.co/3dUiMEWB1L",Speaking 🇲🇼 check latest research risk factors associated fever frien…,"Sentiment(polarity=0.5, subjectivity=0.9)",0.5,0.9,en,6,2,PreventTyphoid,False,"Malawi, typhoid",,"Washington, DC",
1146053652337106945,Tue Jul 02 13:50:58 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @climatelinks: Check out the recorded webinar of @ATLAS_Climate May ACM on climate and #malaria risks in Africa: https://t.co/piFjFyS21x…,Check recorded webinar May ACM climate risks Africa,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,1,ATLAS_climate,False,malaria,"climatelinks, ATLAS_climate","Washington, DC",
1146052160972623878,Tue Jul 02 13:45:02 +0000 2019,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","Since the introduction of indoor residual spraying in 2017, the Mahama #Refugee Camp saw a 90% reduction in… https://t.co/OH9KmKMEzT",Since introduction indoor residual spraying 2017 Mahama Camp saw 90 reduction in…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,2,2,abtassociates,False,Refugee,,"Rockville, MD",
